DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
04-Nov-2025,EQ,"718.00","720.80","715.35","722.20","718.95","717.30","717.54","759.00","577.85",605166,"43,42,33,654.75",22666
03-Nov-2025,EQ,"716.30","724.90","716.25","719.95","722.65","722.20","720.65","759.00","577.85",713200,"51,39,66,761.75",25377
31-Oct-2025,EQ,"721.50","728.65","718.65","721.50","722.00","719.95","722.61","759.00","577.85",1185320,"85,65,24,027.85",25827
30-Oct-2025,EQ,"720.00","724.70","717.15","721.80","723.80","721.50","720.59","759.00","577.85",1504657,"1,08,42,39,544.75",38005
29-Oct-2025,EQ,"720.10","724.40","718.85","720.05","721.50","721.80","722.07","759.00","577.85",1943057,"1,40,30,13,700.70",36659
28-Oct-2025,EQ,"720.10","730.00","716.00","723.60","719.20","720.05","720.05","759.00","577.85",2259608,"1,62,70,23,726.70",37494
27-Oct-2025,EQ,"725.95","728.60","717.00","725.85","723.00","723.60","722.82","759.00","577.85",1032827,"74,65,49,305.45",33674
24-Oct-2025,EQ,"724.80","727.90","713.00","724.80","725.95","725.85","723.44","759.00","577.85",1279440,"92,55,95,514.60",30363
23-Oct-2025,EQ,"722.00","736.50","720.20","722.05","722.10","724.80","729.55","759.00","577.85",1679459,"1,22,52,53,189.85",62571
21-Oct-2025,EQ,"729.10","729.90","718.00","727.35","720.80","722.05","724.15","759.00","577.85",81792,"5,92,29,622.35",3477
20-Oct-2025,EQ,"735.10","742.00","726.30","735.15","727.00","727.35","729.63","759.00","577.85",1394719,"1,01,76,35,138.10",37623
17-Oct-2025,EQ,"728.50","739.50","726.95","725.70","736.00","735.15","734.72","759.00","577.85",1707666,"1,25,46,47,877.50",49694
16-Oct-2025,EQ,"710.00","726.95","708.40","710.20","726.75","725.70","717.82","759.00","577.85",1205842,"86,55,71,500.20",33225
15-Oct-2025,EQ,"708.25","713.00","705.20","708.20","707.80","710.20","710.27","759.00","577.85",2960078,"2,10,24,63,704.55",21330
14-Oct-2025,EQ,"713.35","717.45","707.00","713.35","707.00","708.20","711.88","759.00","577.85",632893,"45,05,41,109.00",47696
13-Oct-2025,EQ,"709.90","716.90","708.45","714.30","712.90","713.35","712.38","759.00","577.85",1598740,"1,13,89,13,911.10",54287
10-Oct-2025,EQ,"717.50","719.55","712.50","715.85","712.60","714.30","716.05","759.00","577.85",1412130,"1,01,11,61,980.00",62152
09-Oct-2025,EQ,"706.50","717.85","704.35","710.80","717.00","715.85","711.83","759.00","577.85",1809553,"1,28,80,87,789.50",47506
08-Oct-2025,EQ,"710.00","713.95","707.00","714.95","710.00","710.80","710.69","759.00","577.85",1546833,"1,09,93,11,515.70",43991
07-Oct-2025,EQ,"715.95","721.95","711.25","715.55","714.70","714.95","717.27","759.00","577.85",1864614,"1,33,74,26,903.90",47603
06-Oct-2025,EQ,"715.00","716.75","703.95","710.95","716.50","715.55","710.60","759.00","577.85",1988455,"1,41,29,95,703.20",32673
03-Oct-2025,EQ,"700.00","712.75","697.60","701.75","710.00","710.95","708.11","759.00","577.85",1495780,"1,05,91,80,739.60",41469
01-Oct-2025,EQ,"697.00","704.60","691.30","697.40","704.00","701.75","699.42","759.00","577.85",2015531,"1,40,97,05,726.55",38529
30-Sep-2025,EQ,"698.70","702.15","693.50","698.70","697.00","697.40","697.44","759.00","577.85",1891260,"1,31,90,47,078.00",48705
29-Sep-2025,EQ,"695.10","703.00","690.30","698.35","700.05","698.70","697.03","759.00","577.85",2398826,"1,67,20,45,256.15",81633
26-Sep-2025,EQ,"703.60","704.75","695.65","703.60","698.50","698.35","699.67","759.00","577.85",2170529,"1,51,86,52,438.65",55489
25-Sep-2025,EQ,"710.40","711.35","702.10","707.55","703.00","703.60","706.71","759.00","577.85",1751179,"1,23,75,78,314.75",42383
24-Sep-2025,EQ,"709.00","713.75","700.05","706.00","708.05","707.55","707.62","759.00","577.85",2131661,"1,50,84,12,291.75",64976
23-Sep-2025,EQ,"720.40","721.50","704.50","716.85","705.25","706.00","709.89","759.00","577.85",1832965,"1,30,12,06,477.20",43938
22-Sep-2025,EQ,"720.15","729.15","714.40","720.15","716.70","716.85","720.47","759.00","577.85",1425905,"1,02,73,23,488.70",41552
19-Sep-2025,EQ,"721.00","723.90","716.00","719.75","722.00","720.15","719.43","759.00","577.85",3589676,"2,58,25,31,554.10",36716
18-Sep-2025,EQ,"713.80","724.10","713.40","711.90","722.40","719.75","719.92","759.00","577.85",1972919,"1,42,03,52,723.65",47204
17-Sep-2025,EQ,"730.00","730.00","709.95","723.90","713.80","711.90","714.15","759.00","577.85",5946154,"4,24,64,40,444.25",71512
16-Sep-2025,EQ,"729.95","731.75","719.55","727.50","723.00","723.90","723.98","759.00","577.85",1685896,"1,22,05,50,485.20",49843
15-Sep-2025,EQ,"734.05","735.95","724.05","734.55","728.00","727.50","727.39","759.00","577.85",2023144,"1,47,16,21,795.45",61449
12-Sep-2025,EQ,"738.95","738.95","731.70","734.10","735.70","734.55","734.67","759.00","577.85",1040773,"76,46,25,112.00",36204
11-Sep-2025,EQ,"736.45","738.90","729.90","734.55","733.10","734.10","733.41","759.00","577.85",1297516,"95,16,05,350.55",36073
10-Sep-2025,EQ,"734.00","737.70","728.90","732.50","736.50","734.55","731.87","759.00","577.85",2564874,"1,87,71,44,913.95",65630
09-Sep-2025,EQ,"731.20","734.85","724.45","730.60","734.00","732.50","729.89","759.00","577.85",1455793,"1,06,25,67,443.10",56089
08-Sep-2025,EQ,"730.80","736.00","728.70","731.70","730.00","730.60","732.59","759.00","577.85",455182,"33,34,63,025.15",17783
05-Sep-2025,EQ,"740.00","740.45","726.00","738.60","731.75","731.70","731.24","759.00","577.85",1035892,"75,74,89,564.05",36402
04-Sep-2025,EQ,"754.75","754.75","734.80","734.75","738.50","738.60","740.61","759.00","577.85",2251956,"1,66,78,28,369.20",58296
03-Sep-2025,EQ,"742.00","742.95","732.05","741.90","733.05","734.75","736.24","759.00","577.85",1252252,"92,19,57,914.25",46856
02-Sep-2025,EQ,"731.60","746.20","731.50","731.40","742.50","741.90","741.50","759.00","577.85",2961872,"2,19,62,35,706.35",88119
01-Sep-2025,EQ,"726.40","732.90","725.45","725.85","731.50","731.40","730.13","759.00","577.85",1044767,"76,28,11,291.30",51715
